topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,auc,ap,ring_recall
clique,0.0,0,848,1812,168,gcn,0.9986111111111111,0.9765432098765432,1.0
clique,0.0,0,848,1812,168,sage,0.9951388888888889,0.9170113836780505,1.0
clique,0.0,0,848,1812,168,mlp,0.36388888888888893,0.07703478669695613,0.0
clique,0.0,1,848,1812,168,gcn,1.0,1.0,1.0
clique,0.0,1,848,1812,168,sage,0.9979166666666667,0.9674523007856342,1.0
clique,0.0,1,848,1812,168,mlp,0.44930555555555557,0.05745705639037777,0.0
clique,0.0,2,848,1812,168,gcn,0.9958333333333333,0.9060405643738978,1.0
clique,0.0,2,848,1812,168,sage,0.9423611111111111,0.44294314783445216,0.16666666666666666
clique,0.0,2,848,1812,168,mlp,0.5687499999999999,0.0977306875995445,0.0
clique,0.0,3,848,1812,168,gcn,1.0,1.0,1.0
clique,0.0,3,848,1812,168,sage,1.0,1.0,1.0
clique,0.0,3,848,1812,168,mlp,0.6020833333333333,0.1185386315599286,0.0
clique,0.0,4,848,1812,168,gcn,1.0,1.0,1.0
clique,0.0,4,848,1812,168,sage,1.0,1.0,0.8333333333333334
clique,0.0,4,848,1812,168,mlp,0.4722222222222222,0.15859797345514523,0.0
clique,0.5,0,848,2004,168,gcn,0.9881944444444445,0.8020282186948853,0.5
clique,0.5,0,848,2004,168,sage,0.8861111111111111,0.3547326811861695,0.0
clique,0.5,0,848,2004,168,mlp,0.6256944444444444,0.11190886752048217,0.0
clique,0.5,1,848,2004,168,gcn,0.9784722222222222,0.6619396580180894,0.8333333333333334
clique,0.5,1,848,2004,168,sage,0.7708333333333334,0.3257680223754898,0.3333333333333333
clique,0.5,1,848,2004,168,mlp,0.46458333333333335,0.06679654312019505,0.0
clique,0.5,2,848,2004,168,gcn,0.9555555555555555,0.6167452237305178,0.6666666666666666
clique,0.5,2,848,2004,168,sage,0.8881944444444444,0.25267890545668326,0.16666666666666666
clique,0.5,2,848,2004,168,mlp,0.6263888888888889,0.09313211630284801,0.0
