,,,auc,auc,ap,ap,ring_recall,ring_recall
,,,mean,std,mean,std,mean,std
topology,camouflage,model,,,,,,
bipartite,0.0,gcn,0.9957,0.0058,0.9309,0.0994,0.9,0.0913
bipartite,0.0,mlp,0.504,0.0796,0.063,0.0121,0.0,0.0
bipartite,0.0,sage,0.7756,0.2398,0.3198,0.2598,0.4,0.2789
bipartite,0.5,gcn,0.9501,0.0262,0.5527,0.1112,0.5667,0.0913
bipartite,0.5,mlp,0.4918,0.0947,0.0619,0.0163,0.0,0.0
bipartite,0.5,sage,0.6706,0.1823,0.1843,0.1565,0.1333,0.2173
bipartite,1.0,gcn,0.8333,0.1128,0.2729,0.1391,0.1667,0.2041
bipartite,1.0,mlp,0.5551,0.0841,0.0896,0.0426,0.0,0.0
bipartite,1.0,sage,0.7444,0.1069,0.1968,0.1431,0.0667,0.1491
bipartite,2.0,gcn,0.7289,0.1022,0.1345,0.0778,0.0,0.0
bipartite,2.0,mlp,0.5093,0.0425,0.0821,0.0489,0.0,0.0
bipartite,2.0,sage,0.5469,0.0417,0.0773,0.0209,0.0,0.0
clique,0.0,gcn,0.9989,0.0018,0.9765,0.0407,1.0,0.0
clique,0.0,mlp,0.4912,0.0957,0.1019,0.0391,0.0,0.0
clique,0.0,sage,0.9871,0.0251,0.8655,0.2386,0.8,0.3613
clique,0.5,gcn,0.97,0.0148,0.6353,0.1182,0.6667,0.1667
clique,0.5,mlp,0.5699,0.0666,0.0814,0.0204,0.0,0.0
clique,0.5,sage,0.8699,0.0677,0.3279,0.1369,0.3,0.2472
clique,1.0,gcn,0.9026,0.0376,0.3664,0.0669,0.4,0.0913
clique,1.0,mlp,0.6031,0.1283,0.105,0.0467,0.0,0.0
clique,1.0,sage,0.7487,0.085,0.176,0.0619,0.0,0.0
clique,2.0,gcn,0.881,0.0552,0.2928,0.1178,0.1,0.0913
clique,2.0,mlp,0.5564,0.0443,0.0957,0.046,0.0,0.0
clique,2.0,sage,0.6053,0.1198,0.0883,0.0263,0.0,0.0
cycle,0.0,gcn,0.9486,0.0413,0.6755,0.1377,0.7333,0.0913
cycle,0.0,mlp,0.4785,0.1161,0.0783,0.0391,0.0,0.0
cycle,0.0,sage,0.7192,0.1011,0.2548,0.1149,0.1,0.1491
cycle,0.5,gcn,0.8714,0.0646,0.4353,0.2418,0.3333,0.2635
cycle,0.5,mlp,0.5867,0.1299,0.1204,0.0742,0.0,0.0
cycle,0.5,sage,0.6194,0.1906,0.1477,0.1469,0.1,0.1491
cycle,1.0,gcn,0.6788,0.1111,0.1426,0.0632,0.0333,0.0745
cycle,1.0,mlp,0.4892,0.1387,0.0771,0.0301,0.0,0.0
cycle,1.0,sage,0.526,0.1618,0.0814,0.0467,0.0,0.0
cycle,2.0,gcn,0.6501,0.0364,0.0864,0.0054,0.0,0.0
cycle,2.0,mlp,0.6118,0.0296,0.1168,0.0709,0.0,0.0
cycle,2.0,sage,0.6115,0.0712,0.0796,0.0191,0.0,0.0
star,0.0,gcn,0.915,0.047,0.5099,0.201,0.5,0.3727
star,0.0,mlp,0.4689,0.1148,0.0959,0.0785,0.0,0.0
star,0.0,sage,0.7206,0.1244,0.2926,0.0907,0.3,0.2173
star,0.5,gcn,0.8203,0.1288,0.3028,0.1827,0.1667,0.2041
star,0.5,mlp,0.5608,0.0885,0.0736,0.0203,0.0,0.0
star,0.5,sage,0.8224,0.0628,0.3816,0.1319,0.0667,0.0913
star,1.0,gcn,0.6901,0.0885,0.1363,0.0592,0.0,0.0
star,1.0,mlp,0.5379,0.0702,0.0927,0.0461,0.0,0.0
star,1.0,sage,0.6221,0.1591,0.1712,0.1149,0.0,0.0
star,2.0,gcn,0.5956,0.1346,0.1011,0.0818,0.0,0.0
star,2.0,mlp,0.5044,0.0578,0.0696,0.0249,0.0,0.0
star,2.0,sage,0.5832,0.111,0.1009,0.0605,0.0,0.0
