topology,camouflage,seed,n_nodes,n_edges,n_ring_edges,model,explainer,node,precision,recall,f1,random_expectation,lift,n_candidates,n_relevant,k
clique,0.0,0,848,1812,168,gcn,gnnexplainer,842,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6829268292682927,1.2028061224489794,41,28,28
clique,0.0,0,848,1812,168,gcn,grad,842,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6829268292682927,0.784438775510204,41,28,28
clique,0.0,0,848,1812,168,gcn,random,842,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6829268292682927,0.8890306122448979,41,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,802,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6666666666666666,1.017857142857143,42,28,28
clique,0.0,0,848,1812,168,gcn,grad,802,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,1.0714285714285716,42,28,28
clique,0.0,0,848,1812,168,gcn,random,802,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,1.0714285714285716,42,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,832,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.5185185185185185,1.8596938775510206,54,28,28
clique,0.0,0,848,1812,168,gcn,grad,832,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5185185185185185,1.1020408163265305,54,28,28
clique,0.0,0,848,1812,168,gcn,random,832,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5185185185185185,0.8954081632653063,54,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,835,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6222222222222222,1.3775510204081631,45,28,28
clique,0.0,0,848,1812,168,gcn,grad,835,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6222222222222222,1.0331632653061225,45,28,28
clique,0.0,0,848,1812,168,gcn,random,835,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6222222222222222,1.0331632653061225,45,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,807,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6829268292682927,0.8890306122448979,41,28,28
clique,0.0,0,848,1812,168,gcn,grad,807,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6829268292682927,0.9936224489795918,41,28,28
clique,0.0,0,848,1812,168,gcn,random,807,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6829268292682927,1.0459183673469388,41,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,809,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.717948717948718,1.193877551020408,39,28,28
clique,0.0,0,848,1812,168,gcn,grad,809,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,gcn,random,809,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,823,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.4307692307692308,0.8290816326530612,65,28,28
clique,0.0,0,848,1812,168,gcn,grad,823,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.4307692307692308,1.4094387755102038,65,28,28
clique,0.0,0,848,1812,168,gcn,random,823,0.5,0.5,0.5,0.4307692307692308,1.1607142857142856,65,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,805,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.29473684210526313,1.4540816326530612,95,28,28
clique,0.0,0,848,1812,168,gcn,grad,805,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.29473684210526313,2.423469387755102,95,28,28
clique,0.0,0,848,1812,168,gcn,random,805,0.25,0.25,0.25,0.29473684210526313,0.8482142857142858,95,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,803,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6666666666666666,0.9107142857142857,42,28,28
clique,0.0,0,848,1812,168,gcn,grad,803,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.6666666666666666,1.1785714285714286,42,28,28
clique,0.0,0,848,1812,168,gcn,random,803,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6666666666666666,1.017857142857143,42,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,804,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6829268292682927,0.836734693877551,41,28,28
clique,0.0,0,848,1812,168,gcn,grad,804,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6829268292682927,0.9936224489795918,41,28,28
clique,0.0,0,848,1812,168,gcn,random,804,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.6829268292682927,0.784438775510204,41,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,808,0.75,0.75,0.75,0.6363636363636364,1.1785714285714286,44,28,28
clique,0.0,0,848,1812,168,gcn,grad,808,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6363636363636364,1.0102040816326532,44,28,28
clique,0.0,0,848,1812,168,gcn,random,808,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.8979591836734694,44,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,814,0.75,0.75,0.75,0.4117647058823529,1.8214285714285716,68,28,28
clique,0.0,0,848,1812,168,gcn,grad,814,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.4117647058823529,1.4744897959183674,68,28,28
clique,0.0,0,848,1812,168,gcn,random,814,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.4117647058823529,0.9540816326530612,68,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,806,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,gcn,grad,806,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.717948717948718,0.9948979591836735,39,28,28
clique,0.0,0,848,1812,168,gcn,random,806,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.717948717948718,0.8954081632653061,39,28,28
clique,0.0,0,848,1812,168,gcn,gnnexplainer,836,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6511627906976745,1.2614795918367345,43,28,28
