,,,,,,precision,precision,random_expectation,random_expectation,lift,lift,n_candidates,n_candidates,n_relevant,n_relevant
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std
topology,camouflage,model,explainer,detected,k_mode,,,,,,,,,,
bipartite,0.0,gcn,gnnexplainer,0,k1,0.6667,0.5774,0.6076,0.0803,1.0208,0.8846,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,0,k10,0.6667,0.1528,0.6076,0.0803,1.0896,0.1447,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,0,k20,0.65,0.0866,0.6076,0.0803,1.0698,0.0222,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,0,k3,0.6667,0.3333,0.6076,0.0803,1.0694,0.4623,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,0,k5,0.5333,0.4163,0.6076,0.0803,0.85,0.6261,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,0,oracle,0.625,0.1083,0.6076,0.0803,1.0247,0.053,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,1,k1,0.672,0.4714,0.5446,0.1555,1.3145,1.21,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,1,k10,0.6432,0.2065,0.5446,0.1555,1.2874,0.7783,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,1,k20,0.594,0.1211,0.5446,0.1555,1.1961,0.562,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,1,k3,0.656,0.3277,0.5446,0.1555,1.2875,0.9745,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,1,k5,0.6464,0.2617,0.5446,0.1555,1.2861,0.8951,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,gnnexplainer,1,oracle,0.61,0.1427,0.5446,0.1555,1.2377,0.6744,34.0,17.5242,16.0,0.0
bipartite,0.0,gcn,grad,0,k1,0.0,0.0,0.6076,0.0803,0.0,0.0,26.6667,3.7859,16.0,0.0
bipartite,0.0,gcn,grad,0,k10,0.6,0.0,0.6076,0.0803,1.0,0.142,26.6667,3.7859,16.0,0.0
